name score date
ali 1 2025-01-13
amir 6 2025-01-13
amir 8 2025-01-13
ali 12 2025-01-13
ali 15 2025-01-11
ali 22 2025-01-13
hesam 5 2025-01-11
hesam 10 2025-01-13
hesam 24 2025-01-13
amirAli 7 2025-01-12
amirAli 28 2025-01-13
amir 29 2025-01-13
fateme 43 2025-01-11
hasan 26 2025-01-13
ali 2 2025-01-13
ali 4 2025-01-13
ali 4 2025-01-13
fatemeh 0 2025-01-13
hosein 8 2025-01-13
ali 5 2025-01-13
ali 7 2025-01-13
ali 4 2025-01-13
ali 5 2025-01-13
ali 4 2025-01-13
ali 5 2025-01-13
ali 1 2025-01-13
ali 5 2025-01-13
ali 7 2025-01-13
ali 4 2025-01-13
ali 2 2025-01-13
ali 4 2025-01-13
ali 8 2025-01-14
ali 2 2025-01-14
ali 3 2025-01-14
ali 24 2025-01-14
leyla 8 2025-01-14
ali 9 2025-01-14
ali 18 2025-01-14
ali 8 2025-01-14
ali 5 2025-01-14
mohammad 8 2025-01-14
ali 13 2025-01-14
ali 8 2025-01-14
ahmad 2 2025-01-14
leyla 4 2025-01-14
leyla 7 2025-01-15
ali 8 2025-01-15
leyla 25 2025-01-15
reza 8 2025-01-15
reza 4 2025-01-15
reza 26 2025-01-15
mohammad 4 2025-01-15
mohammad 9 2025-01-15
mohammad 27 2025-01-15
ehsan 12 2025-01-16
hamid 28 2025-01-16

ali 9 2025-01-16
arman 8 2025-01-17
ali 5 2025-01-17
ali 8 2025-01-17
ali 18 2025-01-17
ali 2 2025-01-17
ali 7 2025-01-17
ali 10 2025-01-17
leyli 6 2025-01-17
ali 3 2025-01-17
ali 18 2025-01-17
ali 2 2025-01-17
ali 1 2025-01-17
ali 9 2025-01-18
ali 8 2025-01-18
ali707 26 2025-01-18
